34001;Ronda Chen;26/03/2006;14:29:41;PXL;to others sill of wrong or;7;CLOSED
34002;Chasity Boone;20/11/2010;03:05:09;Yappa;sacrifice I handled;9;OPEN
34003;Martha Erickson;05/12/2002;04:59:58;Cegeka;ball hid came days people words;10;OPEN
34004;Kathleen Ross;14/02/2010;11:04:05;Mobistart;are monster to who else keys;8;IGNORE
34005;Chris Ward;14/06/2001;20:51:19;T-Network;to no headphones library island they;9;OPEN
34006;Audrey Osborne;19/06/2014;01:48:58;T-Network;;0;CLOSED
34007;Bonnie Leblanc;16/03/2008;01:04:38;T-Network;hold many;3;IGNORE
34008;Ralph Harrington;13/03/2009;13:33:57;Mobistart;where;9;IGNORE
34009;Jonathan Higgins;16/05/2014;12:17:38;Eurosys;;1;IGNORE
34010;Tasha Ferguson;18/11/2008;02:55:25;T-Network;speed about;6;IGNORE
34011;Myron Huffman;01/08/2008;19:34:28;Yappa;web;9;CLOSED
34012;Leroy Hebert;31/10/2006;01:27:46;Telenet;captain automatically magnetic ends trees had;10;CLOSED
34013;Kenny Gilmore;21/07/2010;06:38:37;Mobistart;monster when with demanded;6;OPEN
34014;Brady Rodriquez;20/11/2008;07:52:12;Proximus;rescue demanded;3;CLOSED
34015;Russ Conley;30/01/2005;02:18:18;T-Network;plane secretly came they enter they took;9;IGNORE
34016;Bobbie Tillman;06/01/2006;19:11:48;ACA-IT;so hot man moved;6;CLOSED
34017;Rose George;11/02/2014;07:06:38;ACA-IT;visions came;4;CLOSED
34018;Chuck Dawson;24/06/2000;15:05:43;Proximus;is;9;CLOSED
34019;Lisa Wilkinson;05/12/2005;19:39:36;Mobistart;cold do man it's or;8;CLOSED
34020;Emily Travis;24/03/2001;15:20:30;Telenet;I computer will pique;5;IN PROGRESS
34021;Abby Stein;18/02/2007;11:55:36;Telenet;will;4;IN PROGRESS
34022;Holly Calhoun;23/06/2015;20:29:42;XCOMM;it they dreams;9;CLOSED
34023;John Buchanan;13/11/2014;20:29:45;ACA-IT;or ill white;1;IN PROGRESS
34024;Beth Little;28/07/2006;10:27:15;Proximus;do was;8;CLOSED
34025;Louis Kane;14/05/2002;18:57:47;Yappa;came probably found ship others;7;OPEN
34026;Linda Macias;18/04/2005;05:04:03;ACA-IT;discovered probably will;4;OPEN
34027;Isaac Gilliam;14/11/2003;10:49:49;Cegeka;light handled ball enter;5;OPEN
34028;Gina McLean;01/12/2010;10:08:16;Eurosys;want probably the red;9;OPEN
34029;Sandra Tate;08/09/2005;08:02:44;ACA-IT;;7;IN PROGRESS
34030;Craig Flynn;24/07/2012;04:27:26;Eurosys;worn ghost so;8;IN PROGRESS
34031;Amanda Henderson;20/06/2011;03:57:56;Proximus;it warp many when;3;OPEN
34032;Tessa Huffman;18/09/2001;20:17:15;XCOMM;was banging dad;4;IGNORE
34033;Bruce England;02/12/2011;03:34:51;Telenet;plane it man lost have no keys;6;OPEN
34034;Victor Smith;10/06/2009;17:23:29;Telenet;a warp words sacrifice boon lost;10;CLOSED
34035;Lindsey Alvarado;15/06/2005;17:49:30;Cegeka;man television secretly;7;IN PROGRESS
34036;Johnny Stephens;28/09/2013;07:58:22;T-Network;my;3;CLOSED
34037;Dean Whitfield;07/10/2008;15:20:07;Telenet;are of want hot they;2;IN PROGRESS
34038;Brett Collins;20/08/2006;23:52:16;Eurosys;in;5;OPEN
34039;Peggy Robertson;14/09/2000;09:06:16;Telenet;rabbit have web;8;IGNORE
34040;Chastity Luna;21/04/2014;11:54:46;Proximus;good what they shepherd on write find;5;CLOSED
34041;Tyler Nguyen;30/03/2006;04:05:03;Yappa;ending;10;CLOSED
34042;Clayton Jensen;07/10/2001;16:32:46;PXL;;8;IN PROGRESS
34043;Kimberly Hogan;03/09/2000;05:27:22;PXL;light;8;IN PROGRESS
34044;Tony Yates;07/12/2005;04:22:50;Cegeka;;3;IGNORE
34045;Tasha Bauer;29/10/2000;05:27:47;Yappa;ill shepherd white of my assert open;3;OPEN
34046;Dallas Burke;02/10/2012;20:19:23;Telenet;television;8;IGNORE
34047;Gina Cleveland;29/09/2002;17:19:32;Mobistart;;8;IN PROGRESS
34048;Darlene Rojas;24/08/2002;01:39:50;Mobistart;found lots assert so show while took;0;OPEN
34049;Denise Stone;29/11/2012;21:29:28;PXL;write caves suspense;3;IGNORE
34050;Greg Crosby;08/08/2014;08:44:58;T-Network;write demanded web lots;4;IN PROGRESS
34051;Richard Joyner;12/07/2016;19:23:25;T-Network;room ghost;1;CLOSED
34052;Andy Valentine;20/03/2003;03:58:04;Eurosys;through island my crash;1;IGNORE
34053;Erika Combs;24/05/2013;09:08:28;Yappa;pull world what sill;1;IGNORE
34054;Terry Montoya;09/01/2010;18:08:31;Eurosys;interest who of are wrong days wrong;9;OPEN
34055;Fred Sampson;07/06/2003;03:26:29;PXL;discovered list in it's rescue words through;10;IN PROGRESS
34056;Phillip Drake;23/09/2001;16:54:49;ACA-IT;write magnetic people;7;CLOSED
34057;Nicholas Simmons;01/04/2013;22:41:58;Yappa;in was white with computer;8;IN PROGRESS
34058;Lois Merritt;22/01/2000;13:06:11;Eurosys;hat do demanded it hold to with;10;CLOSED
34059;Jimmy Phelps;29/03/2007;09:20:14;Proximus;speed;10;OPEN
34060;Sydney Larsen;01/07/2009;02:29:57;Eurosys;pique speed ship have island rabbit;5;CLOSED
34061;Vernon Wheeler;25/03/2003;03:53:08;ACA-IT;should text monster worn white came;4;IGNORE
34062;Nina Thomas;08/08/2006;01:37:10;ACA-IT;always computer in of on;9;CLOSED
34063;Gina Gilbert;26/06/2015;19:42:58;ACA-IT;are ill a or maybe no the;10;OPEN
34064;Brad Blair;09/02/2002;01:26:14;Yappa;demanded with on list list have television;1;OPEN
34065;Thomas Burks;21/08/2015;19:08:47;Eurosys;library;2;CLOSED
34066;Cory Ray;13/03/2004;07:03:14;Telenet;monster;8;IN PROGRESS
34067;Shirley Cobb;01/10/2014;01:10:23;XCOMM;to this;8;CLOSED
