401;Stacy Shepard;02/04/2001;02:41:11;Telenet;leader in;6;OPEN
402;Dale Merrill;25/11/2003;01:53:22;PXL;out pique room island find found;4;IGNORE
403;Rod Bowman;10/06/2002;04:07:15;Yappa;took sidekick;2;OPEN
404;Ellen Munoz;08/04/2010;20:56:40;Yappa;headphones plane through ill;2;IN PROGRESS
405;Glen Rush;26/03/2016;07:29:48;Proximus;to;5;CLOSED
406;Corey Hebert;28/10/2009;20:49:49;PXL;;9;OPEN
407;Jeffrey Aguilar;17/05/2006;12:02:16;Eurosys;sofa magnetic I who so crash rescue;3;IN PROGRESS
408;Bonnie Sanford;25/03/2013;21:21:34;ACA-IT;hot headphones wrong caves about hatch;8;OPEN
409;Myron Harding;27/05/2016;02:36:09;XCOMM;is or else island;8;IN PROGRESS
410;Vernon Randolph;06/05/2006;15:22:19;Telenet;to hot sidekick a hid what caves;3;CLOSED
411;Everett Galloway;17/06/2008;15:19:58;Telenet;captain it came hot of;10;CLOSED
412;Daniel Allison;01/09/2000;19:23:33;T-Network;cold man until;9;IGNORE
413;Kathleen Dotson;04/08/2012;23:02:53;XCOMM;fire asked so to;9;IGNORE
414;Emily Ellis;18/07/2015;19:03:52;T-Network;or maybe wicket sits will handled sofa books;3;CLOSED
415;Kathy Banks;18/06/2016;12:44:14;Mobistart;about lots hot the the lots we;0;OPEN
416;Ryan Wilson;28/08/2005;20:27:25;Mobistart;cold monster what red of out;0;IGNORE
417;Jay Swanson;17/04/2001;18:16:35;Proximus;in came with it room sacrifice;0;IN PROGRESS
418;Eric Rosa;28/03/2007;00:09:13;T-Network;have;6;IGNORE
419;Devin Rhodes;14/08/2005;21:06:41;T-Network;of hot demanded island find while dad;9;IGNORE
420;Abigail Jimenez;03/01/2014;09:53:33;T-Network;have television library fire it's build;9;IN PROGRESS
421;Harry Rosales;16/09/2004;21:06:23;Proximus;generated computer will;3;IGNORE
422;Jesse Stuart;25/11/2007;18:03:18;Eurosys;build words man;7;OPEN
423;Austin Wagner;21/10/2012;06:35:04;PXL;cold sits moved words list;5;IGNORE
424;Peggy Conley;07/07/2016;13:25:19;Cegeka;with numbers;9;OPEN
425;Andrea Franklin;30/04/2003;11:54:21;ACA-IT;trees what plane what;9;OPEN
426;Krista Bradshaw;28/04/2008;09:30:09;T-Network;computer a we keys man;6;IN PROGRESS
427;Randall Hampton;15/04/2000;09:27:21;T-Network;are is;3;IN PROGRESS
428;Olivia Vazquez;26/12/2005;23:48:43;Eurosys;or maybe came to room ends where;7;IN PROGRESS
429;Rose Conner;09/02/2007;03:36:30;XCOMM;hid sits;8;IGNORE
430;Jenna Rios;30/12/2002;02:53:36;Yappa;people speed;0;IGNORE
431;Brooklyn Everett;24/07/2016;02:35:26;XCOMM;dad was;1;OPEN
432;Leonard Rivas;28/10/2010;11:06:24;T-Network;window hat fire island find until keys;5;CLOSED
433;Don Rice;10/10/2009;05:01:56;Eurosys;sofa in;7;IN PROGRESS
434;Bruce Wallace;21/08/2009;05:33:07;Eurosys;it have always;2;IGNORE
435;Katelyn Gordon;08/03/2014;20:08:00;XCOMM;cold constantly suspense;1;IGNORE
436;Roy Espinoza;10/02/2010;05:29:53;T-Network;hat was of while dreams;8;IN PROGRESS
437;Monica McCray;17/04/2002;13:24:57;XCOMM;television books;4;CLOSED
438;Alexis Lucas;01/04/2006;02:21:21;ACA-IT;leader;7;OPEN
439;Tammy Mack;28/04/2000;07:44:58;Mobistart;many is assert;10;IN PROGRESS
440;Jessie Nelson;08/01/2016;16:49:32;Telenet;pique;9;IN PROGRESS
441;Shannon Merrill;07/04/2003;12:20:13;Eurosys;or maybe I badly red banging it;1;IN PROGRESS
442;Brady Slater;04/10/2016;20:58:47;Cegeka;;5;CLOSED
443;Dakota Noel;14/10/2007;05:09:14;ACA-IT;came what asked was trees;3;IN PROGRESS
444;Hope Chaney;13/10/2008;03:29:58;Eurosys;;0;OPEN
